stage,epoch,metric,q_scale,mean_abs_q_pred,mean_abs_base_pred,mean_abs_contribution,contribution_pct,theta_mean,theta_std,theta_min,theta_max
base,1,q_diagnostic,0.0,0.0,0.6799952387809753,0.0,0.0,0.6427133083343506,2.7279069423675537,-3.1415927410125732,3.1415927410125732
base,10,q_diagnostic,0.0,0.0,0.6620348691940308,0.0,0.0,-0.5606280565261841,2.791926622390747,-3.1415927410125732,3.1415927410125732
base,20,q_diagnostic,0.0,0.0,0.8250888586044312,0.0,0.0,-0.06080111116170883,3.0000030994415283,-3.1415927410125732,3.1415927410125732
base,30,q_diagnostic,0.0,0.0,0.7039370536804199,0.0,0.0,-0.15919500589370728,2.9630658626556396,-3.1415927410125732,3.141592502593994
base,40,q_diagnostic,0.0,0.0,0.6561977863311768,0.0,0.0,-0.03809533268213272,3.0083329677581787,-3.1415927410125732,3.1415927410125732
base,50,q_diagnostic,0.0,0.0,0.8884217143058777,0.0,0.0,0.027464699000120163,2.961667060852051,-3.1415927410125732,3.1415927410125732
base,60,q_diagnostic,0.0,0.0,0.7421045303344727,0.0,0.0,0.009435280226171017,2.945512294769287,-3.1415927410125732,3.1415927410125732
base,70,q_diagnostic,0.0,0.0,0.7236396670341492,0.0,0.0,-0.16387467086315155,2.9017608165740967,-3.1415927410125732,3.1415927410125732
base,80,q_diagnostic,0.0,0.0,0.7772151827812195,0.0,0.0,-0.26436424255371094,2.8691673278808594,-3.1415927410125732,3.1415927410125732
base,90,q_diagnostic,0.0,0.0,0.7502119541168213,0.0,0.0,-0.16532284021377563,2.9047491550445557,-3.1415927410125732,3.1415927410125732
base,100,q_diagnostic,0.0,0.0,0.7661623358726501,0.0,0.0,-0.09880980849266052,2.8798272609710693,-3.1415927410125732,3.1415927410125732
base,110,q_diagnostic,0.0,0.0,0.7863160967826843,0.0,0.0,-0.18769440054893494,2.8762009143829346,-3.1415927410125732,3.1415927410125732
base,120,q_diagnostic,0.0,0.0,0.7497762441635132,0.0,0.0,-0.25661700963974,2.844451904296875,-3.1415927410125732,3.1415927410125732
base,130,q_diagnostic,0.0,0.0,0.7393638491630554,0.0,0.0,-0.2377033233642578,2.8722331523895264,-3.1415927410125732,3.1415927410125732
base,140,q_diagnostic,0.0,0.0,0.8583433628082275,0.0,0.0,-0.23585562407970428,2.8697669506073,-3.1415927410125732,3.1415927410125732
base,150,q_diagnostic,0.0,0.0,0.8341032862663269,0.0,0.0,-0.2575497627258301,2.8804566860198975,-3.1415927410125732,3.1415927410125732
base,160,q_diagnostic,0.0,0.0,0.7621949911117554,0.0,0.0,-0.2517499327659607,2.8665337562561035,-3.1415927410125732,3.1415927410125732
base,170,q_diagnostic,0.0,0.0,0.7301558256149292,0.0,0.0,-0.19363217055797577,2.866271734237671,-3.1415927410125732,3.1415927410125732
base,180,q_diagnostic,0.0,0.0,0.7710245847702026,0.0,0.0,-0.26905566453933716,2.8236520290374756,-3.1415927410125732,3.1415927410125732
base,190,q_diagnostic,0.0,0.0,0.8461380004882812,0.0,0.0,-0.30971142649650574,2.8466439247131348,-3.1415927410125732,3.1415927410125732
base,200,q_diagnostic,0.0,0.0,0.7718772292137146,0.0,0.0,-0.38519784808158875,2.842451572418213,-3.1415927410125732,3.1415927410125732
quantum,1,q_diagnostic,0.0007418482564389706,0.06231433153152466,0.822754979133606,4.622777851182036e-05,0.005618656791411203,-1.1605467796325684,2.68441104888916,-3.1415927410125732,3.1415927410125732
quantum,10,q_diagnostic,-0.0027262696530669928,0.042653124779462814,0.7685033082962036,0.00011628391075646505,0.01513121797928481,1.5706608295440674,2.7215070724487305,-3.1415927410125732,3.1415927410125732
quantum,20,q_diagnostic,-2.855134334822651e-05,0.0002977568656206131,0.7525215148925781,8.501357839918455e-09,1.1297162501886368e-06,1.5705112218856812,2.721437931060791,-3.1415927410125732,3.1415927410125732
finetune,1,q_diagnostic,0.00025831631501205266,0.0025766808539628983,0.7583261728286743,6.655986908299383e-07,8.77720847147177e-05,1.57077157497406,2.7215704917907715,-3.1415927410125732,3.1415927410125732
finetune,10,q_diagnostic,2.47199695877498e-05,4.321197047829628e-05,0.7793188095092773,1.0681986406524402e-09,1.370682482723206e-07,1.5667328834533691,2.723440647125244,-3.1415927410125732,3.1415927410125732
finetune,20,q_diagnostic,0.0008406978449784219,0.00399020966142416,0.7596882581710815,3.3545602491358295e-06,0.00044157063282870536,0.21976111829280853,3.088779926300049,-3.1415927410125732,3.1415927410125732
