stage,epoch,lr,train_l1_norm,val_mae,best_val,q_scale
base,1,5.699999999999999e-05,1.121739137152653,6.8430354366114425,6.8430354366114425,0.0
base,2,8.4e-05,0.8528506793278233,6.469514798545823,6.469514798545823,0.0
base,3,0.00011099999999999999,0.6854714699579855,6.094402646504529,6.094402646504529,0.0
base,4,0.000138,0.5609145878670294,5.722589070740656,5.722589070740656,0.0
base,5,0.000165,0.4132125545266042,5.329303361530708,5.329303361530708,0.0
base,6,0.00019199999999999998,0.34578916767608825,5.017595927503726,5.017595927503726,0.0
base,7,0.00021899999999999998,0.31291821127700337,4.77116188656379,4.77116188656379,0.0
base,8,0.000246,0.29296427913227097,4.420245828317282,4.420245828317282,0.0
base,9,0.000273,0.2722460385934481,4.093222838753655,4.093222838753655,0.0
base,10,0.0003,0.25999366573754196,3.720884098460311,3.720884098460311,0.0
base,11,0.0002999794957488703,0.25023397013202203,3.301659936051317,3.301659936051317,0.0
base,12,0.00029991798860113885,0.230056649828954,2.9767275743689328,2.9767275743689328,0.0
base,13,0.00029981549537224565,0.2199552364565952,2.746767651275749,2.746767651275749,0.0
base,14,0.00029967204408281613,0.2097323960934649,2.468821741850708,2.468821741850708,0.0
base,15,0.00029948767395100045,0.20102225128667467,2.2085182862317154,2.2085182862317154,0.0
base,16,0.0002992624353817517,0.19216314929938322,2.0791308321300783,2.0791308321300783,0.0
base,17,0.0002989963899530457,0.1889673692855432,1.9060744568631525,1.9060744568631525,0.0
base,18,0.00029868961039904624,0.17985645933730937,1.7417335921376977,1.7417335921376977,0.0
base,19,0.00029834218059022024,0.17980743771065705,1.531601618109498,1.531601618109498,0.0
base,20,0.00029795419551040833,0.17685860490080033,1.4207122203252789,1.4207122203252789,0.0
base,21,0.00029752576123085736,0.16737033497263948,1.3817643542669877,1.3817643542669877,0.0
base,22,0.00029705699488122143,0.16519370018925622,1.3969051877466225,1.3817643542669877,0.0
base,23,0.00029654802461753993,0.1605695959015158,1.4086988052989806,1.3817643542669877,0.0
base,24,0.00029599898958720093,0.16126763269955582,1.4445649254698367,1.3817643542669877,0.0
base,25,0.00029541003989089963,0.15602014735164532,1.4823777606196973,1.3817643542669877,0.0
base,26,0.00029478133654160235,0.15245035112924663,1.539987959610635,1.3817643542669877,0.0
base,27,0.0002941130514205273,0.15101234225776503,1.5838172012792124,1.3817643542669877,0.0
base,28,0.00029340536723015373,0.14778363242145162,1.6673247061728484,1.3817643542669877,0.0
base,29,0.00029265847744427314,0.14359011738606298,1.7518611453974147,1.3817643542669877,0.0
base,30,0.00029187258625509524,0.14420769449121534,1.815170641476833,1.3817643542669877,0.0
base,31,0.0002910479085174243,0.14658915740738565,1.8072613800172457,1.3817643542669877,0.0
base,32,0.0002901846696899192,0.13983083110828606,1.736752501979549,1.3817643542669877,0.0
base,33,0.0002892831057734561,0.13752162455601274,1.6817444169556868,1.3817643542669877,0.0
base,34,0.0002883434632466078,0.13763165399563165,1.6242010706582493,1.3817643542669877,0.0
base,35,0.00028736599899825867,0.13622730577551498,1.5631368967003936,1.3817643542669877,0.0
base,36,0.00028635098025737445,0.1324463051168696,1.445458918128786,1.3817643542669877,0.0
base,37,0.00028529868451994395,0.13119301970654887,1.4027708141499227,1.3817643542669877,0.0
base,38,0.0002842093994731146,0.12920448004511495,1.3752009546247397,1.3752009546247397,0.0
base,39,0.00028308342291654185,0.1292703080437448,1.341754864636778,1.341754864636778,0.0
base,40,0.00028192106268097345,0.13427986353601618,1.296410945270401,1.296410945270401,0.0
base,41,0.00028072263654409165,0.12550377004519978,1.2489351970763287,1.2489351970763287,0.0
base,42,0.00027948847214363614,0.12503413668270097,1.1940616921694065,1.1940616921694065,0.0
base,43,0.00027821890688783094,0.12321985846519616,1.1397027547303156,1.1397027547303156,0.0
base,44,0.0002769142878631404,0.12091495989978673,1.1060129649812436,1.1060129649812436,0.0
base,45,0.0002755749717393794,0.12253111250300495,1.054794245043962,1.054794245043962,0.0
base,46,0.00027420132467220314,0.11904191598153795,0.9952368762144517,0.9952368762144517,0.0
base,47,0.000272793722203004,0.11929195539344298,0.937625643875879,0.937625643875879,0.0
base,48,0.0002713525491562423,0.12410597427101991,0.8880432847351107,0.8880432847351107,0.0
base,49,0.0002698781995342389,0.11621344003117086,0.8306276793327935,0.8306276793327935,0.0
base,50,0.00026837107640945927,0.11800887253496212,0.7800915169987412,0.7800915169987412,0.0
base,51,0.0002668315918143171,0.11641019956501837,0.7267276770039125,0.7267276770039125,0.0
base,52,0.0002652601666285291,0.11710288139165637,0.6735464432986151,0.6735464432986151,0.0
base,53,0.00026365723046405045,0.11077927120060109,0.6383543876864299,0.6383543876864299,0.0
base,54,0.0002620232215476233,0.11060748552315681,0.602213464690432,0.602213464690432,0.0
base,55,0.00026035858660097,0.1104141542387466,0.5707966851812706,0.5707966851812706,0.0
base,56,0.00025866378071866356,0.10887192663733296,0.5392902668468414,0.5392902668468414,0.0
base,57,0.0002569392672437098,0.10832035440735466,0.5111037553709817,0.5111037553709817,0.0
base,58,0.0002551855176408735,0.10850043881914899,0.48741626805106697,0.48741626805106697,0.0
base,59,0.0002534030113677851,0.10843174353094993,0.4629911373015674,0.4629911373015674,0.0
base,60,0.0002515922357438614,0.10618207335693067,0.4423424419638379,0.4423424419638379,0.0
base,61,0.00024975368581707746,0.10436987830365113,0.4214320355923927,0.4214320355923927,0.0
base,62,0.0002478878642286255,0.1039527812270062,0.40335718878163096,0.40335718878163096,0.0
base,63,0.00024599528107549767,0.10251686734284117,0.3860325173647189,0.3860325173647189,0.0
base,64,0.00024407645377103076,0.10205813816330771,0.3706667336686474,0.3706667336686474,0.0
base,65,0.0002421319069034504,0.10201505636639034,0.35680292309273604,0.35680292309273604,0.0
base,66,0.00024016217209245396,0.10121308303392781,0.34342761653138254,0.34342761653138254,0.0
base,67,0.0002381677878438712,0.0992439804087718,0.3318255298465506,0.3318255298465506,0.0
base,68,0.00023614929940244173,0.10096443998429112,0.32108888988382617,0.32108888988382617,0.0
base,69,0.0002341072586027511,0.10163988837996345,0.31059794989800693,0.31059794989800693,0.0
base,70,0.00023204222371836427,0.10083446114729151,0.3007468136317466,0.3007468136317466,0.0
base,71,0.00022995475930919924,0.09843569044811067,0.29132561354537645,0.29132561354537645,0.0
base,72,0.00022784543606718248,0.09791048035181636,0.2828132473692602,0.2828132473692602,0.0
base,73,0.00022571483066022673,0.1399082923556453,0.27483986237358354,0.27483986237358354,0.0
base,74,0.0002235635255745764,0.09729749974975853,0.26778679182703846,0.26778679182703846,0.0
base,75,0.00022139210895556126,0.09713615887285618,0.2610806963234732,0.2610806963234732,0.0
base,76,0.0002192011744468034,0.09516713052969829,0.25491592161135873,0.25491592161135873,0.0
base,77,0.0002169913210279212,0.10341208427859712,0.24899805400346586,0.24899805400346586,0.0
base,78,0.0002147631528507741,0.09412317020347484,0.2433347899569545,0.2433347899569545,0.0
base,79,0.00021251727907429372,0.09342123472555272,0.23807142794628824,0.23807142794628824,0.0
base,80,0.0002102543136979456,0.09360193628494613,0.2330793453485678,0.2330793453485678,0.0
base,81,0.000207974875393868,0.09377378381821191,0.22841084285002186,0.22841084285002186,0.0
base,82,0.00020567958733773328,0.0909436092277254,0.2238429028042265,0.2238429028042265,0.0
base,83,0.00020336907703837767,0.0923045344527167,0.21968891995494214,0.21968891995494214,0.0
base,84,0.0002010439761662466,0.09208259599068784,0.21609584893198414,0.21609584893198414,0.0
base,85,0.00019870492038070274,0.09040783819682206,0.21236713528678677,0.21236713528678677,0.0
base,86,0.0001963525491562423,0.0896578226234218,0.20927923713211144,0.20927923713211144,0.0
base,87,0.00019398750560766992,0.08986272982131685,0.20591980705911447,0.20591980705911447,0.0
base,88,0.0001916104363142769,0.08858864087627667,0.20327858974798224,0.20327858974798224,0.0
base,89,0.00018922199114307316,0.08775162688523888,0.2001459870618718,0.2001459870618718,0.0
base,90,0.00018682282307112008,0.08761698895924264,0.19787307012648808,0.19787307012648808,0.0
base,91,0.00018441358800701292,0.08798206550071502,0.19537186675467896,0.19537186675467896,0.0
base,92,0.00018199494461156225,0.0875442865052865,0.1930777749400761,0.1930777749400761,0.0
base,93,0.0001795675541177222,0.08668639162230872,0.19107204484782853,0.19107204484782853,0.0
base,94,0.00017713208014981664,0.08629902832077374,0.18972226482351412,0.18972226482351412,0.0
base,95,0.00017468918854211026,0.08771561302240677,0.1889105778371742,0.1889105778371742,0.0
base,96,0.00017223954715677646,0.08492759217340211,0.18737920329429172,0.18737920329429172,0.0
base,97,0.00016978382570131053,0.08513174289903683,0.18585288352415227,0.18585288352415227,0.0
base,98,0.0001673226955454381,0.08448101966482031,0.18466611758818696,0.18466611758818696,0.0
base,99,0.00016485682953756956,0.08448660119640201,0.18311880663211563,0.18311880663211563,0.0
base,100,0.00016238690182085003,0.08361332581047434,0.18167806927293828,0.18167806927293828,0.0
base,101,0.00015991358764885506,0.08296173336349531,0.1812490416458784,0.1812490416458784,0.0
base,102,0.00015743756320098353,0.08257372423335609,0.18074777882042475,0.18074777882042475,0.0
base,103,0.00015495950539759642,0.08291457090015705,0.17955655526068837,0.17955655526068837,0.0
base,104,0.0001524800917149539,0.08271050212976994,0.17853284540010922,0.17853284540010922,0.0
base,105,0.00015000000000000015,0.08289154843128048,0.1778380427440354,0.1778380427440354,0.0
base,106,0.00014751990828504636,0.0822752580755094,0.17750227765680535,0.17750227765680535,0.0
base,107,0.0001450404946024039,0.08141508036094695,0.17619651520934698,0.17619651520934698,0.0
base,108,0.0001425624367990168,0.08082395444735105,0.17611637595122098,0.17611637595122098,0.0
base,109,0.00014008641235114519,0.08038838046443378,0.1752885449491199,0.1752885449491199,0.0
base,110,0.0001376130981791503,0.07994302742506107,0.17461355784193944,0.17461355784193944,0.0
base,111,0.00013514317046243071,0.07898386163496236,0.17405094320799774,0.17405094320799774,0.0
base,112,0.00013267730445456225,0.07899169182215664,0.173618561283197,0.173618561283197,0.0
base,113,0.0001302161742986898,0.07916489877401849,0.17250761577207033,0.17250761577207033,0.0
base,114,0.00012776045284322379,0.07826386112100459,0.1721130221806507,0.1721130221806507,0.0
base,115,0.00012531081145789,0.07808256293656601,0.17177868698529491,0.17177868698529491,0.0
base,116,0.00012286791985018363,0.0776353598285649,0.1711114033331139,0.1711114033331139,0.0
base,117,0.00012043244588227807,0.0779508819138294,0.16976772775746973,0.16976772775746973,0.0
base,118,0.00011800505538843809,0.07687953582000343,0.16917536530774968,0.16917536530774968,0.0
base,119,0.0001155864119929874,0.07709583025395775,0.1693346536297103,0.16917536530774968,0.0
base,120,0.00011317717692888023,0.07643360052655562,0.1686508189207697,0.1686508189207697,0.0
base,121,0.00011077800885692713,0.0771138616578801,0.1677176511899089,0.1677176511899089,0.0
base,122,0.00010838956368572343,0.07581325978163704,0.16754204332304595,0.16754204332304595,0.0
base,123,0.00010601249439233038,0.07582583946595085,0.16689566629956934,0.16689566629956934,0.0
base,124,0.00010364745084375802,0.07488131542950424,0.16639654656246716,0.16639654656246716,0.0
base,125,0.00010129507961929756,0.07509987947557312,0.16603989059167162,0.16603989059167162,0.0
base,126,9.895602383375361e-05,0.07464959576690652,0.1661555899544465,0.16603989059167162,0.0
base,127,9.663092296162262e-05,0.07407274418621902,0.16597450744446962,0.16597450744446962,0.0
base,128,9.432041266226697e-05,0.07392996501200044,0.16449638704344977,0.16449638704344977,0.0
base,129,9.202512460613223e-05,0.07334117984895648,0.164498360434193,0.16449638704344977,0.0
base,130,8.974568630205467e-05,0.07312697051775653,0.16387344403504905,0.16387344403504905,0.0
base,131,8.748272092570653e-05,0.07294910478385082,0.16324843491453156,0.16324843491453156,0.0
base,132,8.523684714922614e-05,0.07328460705004217,0.16232192037958967,0.16232192037958967,0.0
base,133,8.30086789720791e-05,0.07240361341900356,0.16228101684131782,0.16228101684131782,0.0
base,134,8.079882555319691e-05,0.07244786953687814,0.1618221591738653,0.1618221591738653,0.0
base,135,7.860789104443901e-05,0.07198365483762456,0.1615703844891077,0.1615703844891077,0.0
base,136,7.643647442542382e-05,0.07189498354567579,0.16041556543998833,0.16041556543998833,0.0
base,137,7.428516933977347e-05,0.07141623059621528,0.16022832424808495,0.16022832424808495,0.0
base,138,7.215456393281775e-05,0.07085383794264974,0.16007098249181606,0.16007098249181606,0.0
base,139,7.0045240690801e-05,0.07073012245675889,0.15857631336664976,0.15857631336664976,0.0
base,140,6.795777628163602e-05,0.07073193231628437,0.15832419695406252,0.15832419695406252,0.0
base,141,6.589274139724908e-05,0.07103483259978575,0.15767369062211875,0.15767369062211875,0.0
base,142,6.385070059755848e-05,0.06995785131914976,0.15678689640741741,0.15678689640741741,0.0
base,143,6.183221215612906e-05,0.07021628464809536,0.15632019941024822,0.15632019941024822,0.0
base,144,5.9837827907546254e-05,0.06968090808280863,0.15481792071776262,0.15481792071776262,0.0
base,145,5.786809309654984e-05,0.06980945021119092,0.15548865372167125,0.15481792071776262,0.0
base,146,5.592354622896946e-05,0.06952445640753399,0.15447430988612967,0.15447430988612967,0.0
base,147,5.400471892450252e-05,0.06907827557807558,0.15307885146438097,0.15307885146438097,0.0
base,148,5.211213577137471e-05,0.06874459876392647,0.15229616002607152,0.15229616002607152,0.0
base,149,5.0246314182922815e-05,0.06855946645535871,0.15263529807194778,0.15229616002607152,0.0
base,150,4.840776425613889e-05,0.06847976870691887,0.1513822806735273,0.1513822806735273,0.0
base,151,4.659698863221515e-05,0.06840755833411248,0.15046313836251451,0.15046313836251451,0.0
base,152,4.481448235912673e-05,0.06773837722070827,0.14965304921619718,0.14965304921619718,0.0
base,153,4.306073275629047e-05,0.06759789587661759,0.15019669445667355,0.14965304921619718,0.0
base,154,4.133621928133668e-05,0.06728174990218304,0.14930470492928563,0.14930470492928563,0.0
base,155,3.964141339903028e-05,0.06704545811503194,0.14826737173305396,0.14826737173305396,0.0
base,156,3.797677845237698e-05,0.06753814374417383,0.14763722678148572,0.14763722678148572,0.0
base,157,3.6342769535949807e-05,0.06724450243379985,0.14635045851150766,0.14635045851150766,0.0
base,158,3.473983337147115e-05,0.06685931003258642,0.14552146324385729,0.14552146324385729,0.0
base,159,3.316840818568317e-05,0.06657059789603706,0.14513635872282002,0.14513635872282002,0.0
base,160,3.1628923590541e-05,0.06657081358701385,0.14440247925616437,0.14440247925616437,0.0
base,161,3.012180046576131e-05,0.0666081018892257,0.14364835416506183,0.14364835416506183,0.0
base,162,2.8647450843757914e-05,0.06588910284195801,0.14264875011215203,0.14264875011215203,0.0
base,163,2.7206277796996164e-05,0.06550482285867397,0.14199181305727063,0.14199181305727063,0.0
base,164,2.579867532779701e-05,0.06579348213841388,0.14118333720453816,0.14118333720453816,0.0
base,165,2.4425028260620732e-05,0.06566172372087065,0.1404117659163714,0.1404117659163714,0.0
base,166,2.3085712136859715e-05,0.06532567741309048,0.13965298988618116,0.13965298988618116,0.0
base,167,2.1781093112169193e-05,0.06526902013724617,0.13880944844279222,0.13880944844279222,0.0
base,168,2.0511527856363925e-05,0.065320783424936,0.13800706829143064,0.13800706829143064,0.0
base,169,1.9277363455908435e-05,0.06467645459414112,0.13742234106777476,0.13742234106777476,0.0
base,170,1.8078937319026664e-05,0.06440600289952579,0.13794395069477164,0.13742234106777476,0.0
base,171,1.6916577083458235e-05,0.06456219896174148,0.13709318456523673,0.13709318456523673,0.0
base,172,1.5790600526885485e-05,0.06444143534599618,0.13640488756729868,0.13640488756729868,0.0
base,173,1.4701315480056188e-05,0.06438762641464234,0.1347179306416321,0.1347179306416321,0.0
base,174,1.3649019742625662e-05,0.06412433187314916,0.13429409570306902,0.13429409570306902,0.0
base,175,1.2634001001741412e-05,0.06407966259173604,0.13375933626089348,0.13375933626089348,0.0
base,176,1.1656536753392292e-05,0.06388414940226382,0.1329225856376006,0.1329225856376006,0.0
base,177,1.0716894226543925e-05,0.06397988825642369,0.13268340094086045,0.13268340094086045,0.0
base,178,9.815330310080859e-06,0.06396280617594746,0.13246593112328872,0.13246593112328872,0.0
base,179,8.952091482575828e-06,0.06363860045807501,0.13216945394813254,0.13216945394813254,0.0
base,180,8.127413744904808e-06,0.06380991702172531,0.13178433309880308,0.13178433309880308,0.0
base,181,7.341522555726973e-06,0.06361320337304407,0.13106113262682398,0.13106113262682398,0.0
base,182,6.594632769846356e-06,0.06379663720920592,0.13074427045358392,0.13074427045358392,0.0
base,183,5.886948579472797e-06,0.06366945575883717,0.1302458773254847,0.1302458773254847,0.0
base,184,5.2186634583977174e-06,0.06302564415767781,0.129093785101163,0.129093785101163,0.0
base,185,4.5899601091004455e-06,0.06290632550980003,0.1282128200867777,0.1282128200867777,0.0
base,186,4.0010104127991396e-06,0.06287069987443886,0.128106501911026,0.128106501911026,0.0
base,187,3.4519753824601104e-06,0.06315588299106734,0.12779706007186165,0.12779706007186165,0.0
base,188,2.943005118778597e-06,0.06290414371009286,0.1271091476635203,0.1271091476635203,0.0
base,189,2.4742387691426453e-06,0.06278749184101663,0.12576942149355244,0.12576942149355244,0.0
base,190,2.045804489591652e-06,0.06297659293998228,0.12543051175219033,0.12543051175219033,0.0
base,191,1.6578194097797267e-06,0.06306763939251368,0.12516249420718845,0.12516249420718845,0.0
base,192,1.3103896009537211e-06,0.06350547602415987,0.12476225714977661,0.12476225714977661,0.0
base,193,1.0036100469542788e-06,0.06272049804719901,0.12364676420927176,0.12364676420927176,0.0
base,194,7.375646182482877e-07,0.06338706807237166,0.12332504932590466,0.12332504932590466,0.0
base,195,5.12326048999523e-07,0.06280448895309676,0.12294098310930543,0.12294098310930543,0.0
base,196,3.279559171838198e-07,0.06288631390294724,0.121435421846934,0.121435421846934,0.0
base,197,1.8450462775427277e-07,0.06291184902588663,0.12118221960291534,0.12118221960291534,0.0
base,198,8.201139886109266e-08,0.06307599883858858,0.12103381292140057,0.12103381292140057,0.0
base,199,2.0504251129649378e-08,0.06301212799238846,0.11976581227384848,0.11976581227384848,0.0
base,200,0.0,0.06322530588373027,0.11966172699205538,0.11966172699205538,0.0
quantum,1,5.699999999999999e-05,0.0627210115780253,0.05878417856201414,0.05878417856201414,-7.519720384152606e-05
