stage,epoch,metric,q_scale,mean_abs_q_pred,mean_abs_base_pred,mean_abs_contribution,contribution_pct,theta_mean,theta_std,theta_min,theta_max
base,1,q_diagnostic,0.0,0.0,0.7531928420066833,0.0,0.0,-2.1844711303710938,2.0138401985168457,-3.1415927410125732,3.1415927410125732
base,10,q_diagnostic,0.0,0.0,0.7246777415275574,0.0,0.0,-1.9311704635620117,2.113682508468628,-3.1415927410125732,3.1415927410125732
base,20,q_diagnostic,0.0,0.0,0.788753867149353,0.0,0.0,-1.9586665630340576,2.1099772453308105,-3.1415927410125732,3.1415927410125732
base,30,q_diagnostic,0.0,0.0,0.7333621382713318,0.0,0.0,-1.7394237518310547,2.300564765930176,-3.1415927410125732,3.1415927410125732
base,40,q_diagnostic,0.0,0.0,0.7414935827255249,0.0,0.0,-1.3247411251068115,2.4544644355773926,-3.1415927410125732,3.1415927410125732
base,50,q_diagnostic,0.0,0.0,0.8029952049255371,0.0,0.0,-0.632721483707428,2.7123005390167236,-3.1415927410125732,3.1415927410125732
base,60,q_diagnostic,0.0,0.0,0.7596807479858398,0.0,0.0,-1.328980803489685,2.460763692855835,-3.1415927410125732,3.1415927410125732
base,70,q_diagnostic,0.0,0.0,0.8172909617424011,0.0,0.0,-1.4640405178070068,2.3827104568481445,-3.1415927410125732,3.1415927410125732
base,80,q_diagnostic,0.0,0.0,0.7917935252189636,0.0,0.0,-1.3822665214538574,2.439142942428589,-3.1415927410125732,3.1415927410125732
base,90,q_diagnostic,0.0,0.0,0.7971628904342651,0.0,0.0,-1.1300773620605469,2.4519355297088623,-3.1415927410125732,3.1415927410125732
base,100,q_diagnostic,0.0,0.0,0.7834705114364624,0.0,0.0,-1.4539070129394531,2.407860040664673,-3.1415927410125732,3.1415927410125732
base,110,q_diagnostic,0.0,0.0,0.7798926830291748,0.0,0.0,-1.6255595684051514,2.2600655555725098,-3.1415927410125732,3.1415927410125732
base,120,q_diagnostic,0.0,0.0,0.8300322890281677,0.0,0.0,-1.6224441528320312,2.2579092979431152,-3.1415927410125732,3.1415927410125732
base,130,q_diagnostic,0.0,0.0,0.8079684972763062,0.0,0.0,-1.6001336574554443,2.3170595169067383,-3.1415927410125732,3.1415927410125732
base,140,q_diagnostic,0.0,0.0,0.7413498759269714,0.0,0.0,-1.5097765922546387,2.296933650970459,-3.1415927410125732,3.1415927410125732
base,150,q_diagnostic,0.0,0.0,0.8039286136627197,0.0,0.0,-1.568464756011963,2.245604991912842,-3.1415927410125732,3.1415927410125732
base,160,q_diagnostic,0.0,0.0,0.8127757906913757,0.0,0.0,-1.7051494121551514,2.2401371002197266,-3.1415927410125732,3.1415927410125732
base,170,q_diagnostic,0.0,0.0,0.8112910985946655,0.0,0.0,-1.5870490074157715,2.259176731109619,-3.1415927410125732,3.1415927410125732
base,180,q_diagnostic,0.0,0.0,0.8060595393180847,0.0,0.0,-1.558201789855957,2.304635524749756,-3.1415927410125732,3.1415927410125732
base,190,q_diagnostic,0.0,0.0,0.7823554277420044,0.0,0.0,-1.532579779624939,2.289379835128784,-3.1415927410125732,3.1415927410125732
base,200,q_diagnostic,0.0,0.0,0.7623798251152039,0.0,0.0,-1.5695886611938477,2.271939277648926,-3.1415927410125732,3.1415927410125732
quantum,1,q_diagnostic,-0.0001595104404259473,0.002577015198767185,0.7754784822463989,4.1106085291175987e-07,5.300738348283662e-05,-2.2006499767303467,1.984853982925415,-3.1415927410125732,3.1415927410125732
quantum,10,q_diagnostic,-0.005128022748976946,0.019578315317630768,0.852515697479248,0.00010039805056294426,0.011776680577224256,0.011942367069423199,3.1422407627105713,-3.1415927410125732,3.1415927410125732
quantum,20,q_diagnostic,-0.009051790460944176,0.041703663766384125,0.7960224151611328,0.0003774928336497396,0.04742238741767748,-1.5544400215148926,2.7308900356292725,-3.1415927410125732,3.1415927410125732
quantum,30,q_diagnostic,5.7885681599145755e-05,0.00018665523384697735,0.8020250201225281,1.0804664718477852e-08,1.3471730242048703e-06,-1.5462415218353271,2.7356066703796387,-3.1415927410125732,3.1415927410125732
finetune,1,q_diagnostic,6.409807610907592e-06,3.500298407743685e-05,0.8112934827804565,2.2436238977796563e-10,2.765489857119974e-08,-1.554427146911621,2.7309656143188477,-3.1415927410125732,3.1415927410125732
finetune,10,q_diagnostic,-6.256671440496575e-06,5.105046147946268e-05,0.7273154258728027,3.1940600164759303e-10,4.3915746907726596e-08,-1.5544040203094482,2.730952501296997,-3.1415927410125732,3.1415927410125732
