stage,epoch,metric,q_scale,mean_abs_q_pred,mean_abs_base_pred,mean_abs_contribution,contribution_pct,theta_mean,theta_std,theta_min,theta_max
base,1,q_diagnostic,0.0,0.0,2.5306448936462402,0.0,0.0,-0.2748674750328064,3.0044384002685547,-3.1415927410125732,3.1415927410125732
base,10,q_diagnostic,0.0,0.0,3.4977030754089355,0.0,0.0,-1.2947145700454712,2.77553129196167,-3.1415927410125732,3.1415927410125732
base,20,q_diagnostic,0.0,0.0,2.8972034454345703,0.0,0.0,-1.337854266166687,2.7332088947296143,-3.1415927410125732,3.1415927410125732
base,30,q_diagnostic,0.0,0.0,2.546401023864746,0.0,0.0,-1.2559256553649902,2.5928313732147217,-3.1415927410125732,3.1415927410125732
base,40,q_diagnostic,0.0,0.0,2.887798309326172,0.0,0.0,-1.2245906591415405,2.5759658813476562,-3.1415927410125732,3.1415927410125732
quantum,1,q_diagnostic,-0.009487558156251907,0.15250712633132935,2.6157939434051514,0.0014469202142208815,0.05531476276517319,-0.8364190459251404,2.0121963024139404,-3.1415927410125732,3.1415927410125732
quantum,10,q_diagnostic,-0.16367529332637787,1.0910396575927734,2.539632558822632,0.17857623100280762,7.031577476921498,-1.2804677486419678,2.605419158935547,-3.1415927410125732,3.1415927410125732
quantum,20,q_diagnostic,-0.20335949957370758,0.8921651244163513,2.491044044494629,0.18143026530742645,7.283302184412452,-1.3855209350585938,2.6657581329345703,-3.1415927410125732,3.1415927410125732
quantum,30,q_diagnostic,-0.22486883401870728,0.9279292821884155,2.6504063606262207,0.20866237580776215,7.872844666671492,-1.404179573059082,2.6803247928619385,-3.1415927410125732,3.1415927410125732
quantum,40,q_diagnostic,-0.2365606278181076,0.8115777373313904,2.6456522941589355,0.19198733568191528,7.256710797020148,-1.399857997894287,2.687507390975952,-3.1415927410125732,3.1415927410125732
quantum,50,q_diagnostic,-0.24715381860733032,0.6794562339782715,2.494483470916748,0.1679302155971527,6.73206367390237,-1.5071401596069336,2.6799566745758057,-3.1415927410125732,3.1415927410125732
quantum,60,q_diagnostic,-0.24987758696079254,0.7660250067710876,2.590548276901245,0.19141249358654022,7.388879616458242,-1.4675391912460327,2.6847305297851562,-3.1415927410125732,3.1415927410125732
finetune,1,q_diagnostic,-0.2505647540092468,0.8715195655822754,2.5102643966674805,0.21837207674980164,8.699166392178292,-1.433138132095337,2.673410415649414,-3.1415927410125732,3.1415927410125732
finetune,10,q_diagnostic,-0.27331534028053284,1.5735667943954468,2.350175380706787,0.43007993698120117,18.299908190327344,-1.2823598384857178,2.71989369392395,-3.1415927410125732,3.1415927410125732
finetune,20,q_diagnostic,-0.30114760994911194,1.8936136960983276,2.135044574737549,0.5702571868896484,26.70938085493978,-1.306923747062683,2.698465347290039,-3.1415927410125732,3.1415927410125732
finetune,30,q_diagnostic,-0.3073839247226715,2.069563865661621,2.092949390411377,0.636150598526001,30.39493460473305,-1.2179999351501465,2.728300094604492,-3.1415927410125732,3.1415927410125732
