stage,epoch,lr,train_l1_norm,val_mae,best_val,q_scale
base,1,0.00019,1.005491144939782,14.558854517491687,14.558854517491687,0.0
base,2,0.00028000000000000003,0.7494825282260328,12.011818956729241,12.011818956729241,0.0
base,3,0.00037000000000000005,0.5619739747954957,9.882518196528743,9.882518196528743,0.0
base,4,0.00046000000000000007,0.4345331570678992,8.231504941090508,8.231504941090508,0.0
base,5,0.00055,0.32664119800250757,7.075621763172658,7.075621763172658,0.0
base,6,0.00064,0.3214089663866271,6.270430092161733,6.270430092161733,0.0
base,7,0.0007300000000000001,0.24833715532971914,5.626292715558836,5.626292715558836,0.0
base,8,0.0008200000000000001,0.2114109249597185,5.096920037628596,5.096920037628596,0.0
base,9,0.0009100000000000002,0.2106548436250853,4.594312156275453,4.594312156275453,0.0
base,10,0.001,0.17156249702291132,4.059425470051411,4.059425470051411,0.0
base,11,0.0009999316524962345,0.16252504125480066,3.6881321719924145,3.6881321719924145,0.0
base,12,0.000999726628670463,0.1453807770375592,3.2568098507205945,3.2568098507205945,0.0
base,13,0.0009993849845741523,0.13183022758072874,2.9175820406411006,2.9175820406411006,0.0
base,14,0.0009989068136093873,0.12453690589301167,2.7313284170898213,2.7313284170898213,0.0
base,15,0.000998292246503335,0.11522154371977891,2.620246482498646,2.620246482498646,0.0
base,16,0.0009975414512725057,0.11061805533832487,2.514119604936317,2.514119604936317,0.0
base,17,0.0009966546331768192,0.10459433329423834,2.4491615467440377,2.4491615467440377,0.0
base,18,0.0009956320346634878,0.10176605534947156,2.408402442130293,2.408402442130293,0.0
base,19,0.0009944739353007345,0.09712384503810566,2.3931648203660196,2.3931648203660196,0.0
base,20,0.0009931806517013615,0.09549345746995166,2.3844931361271247,2.3844931361271247,0.0
base,21,0.0009917525374361915,0.09186463910514842,2.3510876044506857,2.3510876044506857,0.0
base,22,0.0009901899829374051,0.11347202087071914,2.3161139712369763,2.3161139712369763,0.0
base,23,0.0009884934153918002,0.09036952402887746,2.241171635883824,2.241171635883824,0.0
